area,route_name,date,gpx_file,url
大雪山,旭岳,2025年02月10日(月),routes/track-7786750.gpx,https://www.yamareco.com/modules/yamareco/detail-7786750.html
志賀・草津・四阿山・浅間,四阿山,2025年02月10日(月),routes/track-7786780.gpx,https://www.yamareco.com/modules/yamareco/detail-7786780.html
八ヶ岳・蓼科,蓼科でBCスキー ⛷ エコーバレースキー場跡地でパウダー,2025年02月10日(月),routes/track-7786825.gpx,https://www.yamareco.com/modules/yamareco/detail-7786825.html
槍・穂高・乗鞍,Mt乗鞍鳥居尾根ゲレンデBC,2025年02月10日(月),routes/track-7786960.gpx,https://www.yamareco.com/modules/yamareco/detail-7786960.html
北陸,取立山は豪雪パウパウでバッカン,2025年02月10日(月),routes/track-7787012.gpx,https://www.yamareco.com/modules/yamareco/detail-7787012.html
中央アルプス,空木岳,2025年02月10日(月),routes/track-7787043.gpx,https://www.yamareco.com/modules/yamareco/detail-7787043.html
妙高・戸隠・雨飾,黒姫山BC・戸隠大橋から：外輪から滑走で雪質最高！,2025年02月10日(月),routes/track-7787193.gpx,https://www.yamareco.com/modules/yamareco/detail-7787193.html
札幌近郊,塩谷丸山,2025年02月10日(月),routes/track-7787231.gpx,https://www.yamareco.com/modules/yamareco/detail-7787231.html
妙高・戸隠・雨飾,神奈山,2025年02月10日(月),routes/track-7787280.gpx,https://www.yamareco.com/modules/yamareco/detail-7787280.html
白馬・鹿島槍・五竜,若栗の頭,2025年02月10日(月),routes/track-7787575.gpx,https://www.yamareco.com/modules/yamareco/detail-7787575.html
白馬・鹿島槍・五竜,縞枯山 BC 今季最強寒波で新雪30cm,2025年02月09日(日),routes/track-7787612.gpx,https://www.yamareco.com/modules/yamareco/detail-7787612.html
比良山系,三国山,2025年02月09日(日),routes/track-7787640.gpx,https://www.yamareco.com/modules/yamareco/detail-7787640.html
近畿,美方高原スノーパークで軽く山スキー_2014GPS記録No.2,2014年01月25日(土),routes/track-7787710.gpx,https://www.yamareco.com/modules/yamareco/detail-7787710.html
霊仙・伊吹・藤原,伊吹山_2014GPS記録No.3,2014年02月01日(土),routes/track-7787720.gpx,https://www.yamareco.com/modules/yamareco/detail-7787720.html
妙高・戸隠・雨飾,シャルマン火打〜放山_2014年GPSログNo.7,2014年02月10日(月),routes/track-7787742.gpx,https://www.yamareco.com/modules/yamareco/detail-7787742.html
